spending_tier,product_category_name,product_count
High Spender,toys,32
High Spender,bed_bath_table,2
High Spender,health_beauty,1
Low Spender,toys,1767790
Low Spender,health_beauty,154749
Low Spender,computers_accessories,94597
Low Spender,garden_tools,87326
Low Spender,watches_gifts,78725
Low Spender,bed_bath_table,29224
Low Spender,furniture_decor,23248
Low Spender,sports_leisure,23020
Low Spender,cool_stuff,21810
Low Spender,perfumery,16203
Low Spender,telephony,13298
Low Spender,office_furniture,12928
Low Spender,housewares,12790
Low Spender,auto,10257
Low Spender,electronics,9654
Low Spender,baby,5567
Low Spender,pet_shop,2685
Low Spender,audio,2544
Low Spender,home_appliances,2476
Low Spender,stationery,2357
Low Spender,fashion_bags_accessories,1862
Low Spender,tablets_printing_image,1396
Low Spender,construction_tools_construction,1384
Low Spender,books_technical,1269
Low Spender,,1234
Low Spender,home_construction,981
Low Spender,luggage_accessories,904
Low Spender,musical_instruments,800
Low Spender,industry_commerce_and_business,794
Low Spender,agro_industry_and_commerce,726
Low Spender,food,676
Low Spender,computers,669
Low Spender,consoles_games,657
Low Spender,costruction_tools_garden,633
Low Spender,market_place,613
Low Spender,small_appliances,469
Low Spender,food_drink,448
Low Spender,home_appliances_2,385
Low Spender,kitchen_dining_laundry_garden_furniture,378
Low Spender,furniture_living_room,348
Low Spender,drinks,320
Low Spender,construction_tools_lights,318
Low Spender,books_general_interest,313
Low Spender,air_conditioning,259
Low Spender,costruction_tools_tools,235
Low Spender,fashion_shoes,197
Low Spender,signaling_and_security,178
Low Spender,fixed_telephony,112
Low Spender,home_confort,110
Low Spender,christmas_supplies,95
Low Spender,furniture_bedroom,64
Low Spender,construction_tools_safety,58
Low Spender,fashion_underwear_beach,39
Low Spender,small_appliances_home_oven_and_coffee,29
Low Spender,flowers,26
Low Spender,fashion_male_clothing,24
Low Spender,books_imported,16
Low Spender,dvds_blu_ray,11
Low Spender,art,11
Low Spender,party_supplies,9
Low Spender,music,9
Low Spender,la_cuisine,6
Low Spender,fashion_sport,5
Low Spender,fashion_childrens_clothes,4
Low Spender,cine_photo,4
Low Spender,arts_and_craftmanship,4
Low Spender,fashio_female_clothing,2
Low Spender,security_and_services,1
Low Spender,home_comfort_2,1
Low Spender,furniture_mattress_and_upholstery,1
Low Spender,diapers_and_hygiene,1
Medium Spender,toys,76672
Medium Spender,garden_tools,8937
Medium Spender,computers_accessories,5331
Medium Spender,health_beauty,2838
Medium Spender,watches_gifts,2418
Medium Spender,perfumery,820
Medium Spender,furniture_decor,812
Medium Spender,bed_bath_table,774
Medium Spender,sports_leisure,629
Medium Spender,office_furniture,627
Medium Spender,housewares,618
Medium Spender,cool_stuff,569
Medium Spender,telephony,436
Medium Spender,baby,370
Medium Spender,electronics,220
Medium Spender,pet_shop,178
Medium Spender,construction_tools_construction,122
Medium Spender,fashion_bags_accessories,77
Medium Spender,,68
Medium Spender,auto,65
Medium Spender,stationery,62
Medium Spender,musical_instruments,59
Medium Spender,computers,54
Medium Spender,home_construction,43
Medium Spender,agro_industry_and_commerce,29
Medium Spender,market_place,26
Medium Spender,consoles_games,26
Medium Spender,luggage_accessories,23
Medium Spender,costruction_tools_tools,23
Medium Spender,small_appliances,20
Medium Spender,furniture_living_room,20
Medium Spender,audio,17
Medium Spender,air_conditioning,17
Medium Spender,construction_tools_lights,15
Medium Spender,home_appliances,11
Medium Spender,costruction_tools_garden,10
Medium Spender,books_technical,9
Medium Spender,food,7
Medium Spender,fixed_telephony,7
Medium Spender,fashion_shoes,5
Medium Spender,kitchen_dining_laundry_garden_furniture,4
Medium Spender,home_confort,4
Medium Spender,christmas_supplies,4
Medium Spender,art,4
Medium Spender,fashion_male_clothing,3
Medium Spender,books_general_interest,3
Medium Spender,signaling_and_security,2
Medium Spender,food_drink,1
Medium Spender,drinks,1
Medium Spender,cine_photo,1
