month,total_orders,completed_orders,completion_rate
2016-09,3,0,0.0
2016-10,289,256,88.5813148788927
2016-12,1,1,100.0
2017-01,857,824,96.1493582263711
2017-02,1534,1467,95.632333767927
2017-03,2392,2316,96.8227424749164
2017-04,2156,2042,94.7124304267161
2017-05,3407,3301,96.8887584385089
2017-06,2953,2884,97.6633931594988
2017-07,3781,3699,97.831261571013
2017-08,4028,3942,97.8649453823237
2017-09,3937,3864,98.1457962915926
2017-10,4258,4166,97.8393612024425
2017-11,6840,6694,97.8654970760234
2017-12,4981,4883,98.0325235896406
2018-01,6463,6326,97.8802413739749
2018-02,6069,5957,98.1545559400231
2018-03,6508,6352,97.6029502151199
2018-04,6200,6096,98.3225806451613
2018-05,6163,6069,98.4747687814376
2018-06,5510,5471,99.2921960072595
2018-07,5430,5335,98.2504604051565
2018-08,5555,5483,98.7038703870387
2018-09,1,0,0.0
