month,total_sales,previous_month_sales,month_over_month_growth
2016-10,62912.05,,
2016-12,351.69,62912.05,-99.4409814971853
2017-01,185156.58,351.69,52547.6669794421
2017-02,402327.99,185156.58,117.290679056613
2017-03,635209.76,402327.99,57.8835616184695
2017-04,551104.08,635209.76,-13.2406151945776
2017-05,888460.7,551104.08,61.214683803466
2017-06,752511.54,888460.7,-15.3016514967966
2017-07,1033556.11,752511.54,37.3475428695751
2017-08,1055261.81,1033556.11,2.1000988519143
2017-09,997734.71,1055261.81,-5.45145284846422
2017-10,1126263.72,997734.71,12.882082653013
2017-11,1755341.32,1126263.72,55.8552662958903
2017-12,1301160.1,1755341.32,-25.8742396606946
2018-01,1733349.02,1301160.1,33.215660394136
2018-02,1648149.52,1733349.02,-4.91531128566363
2018-03,1741321.34,1648149.52,5.65311695749546
2018-04,1625397.92,1741321.34,-6.6572100931124
2018-05,1655670.97,1625397.92,1.86250084533146
2018-06,1500307.86,1655670.97,-9.38369475669431
2018-07,1387483.03,1500307.86,-7.52011190556584
2018-08,1460417.72,1387483.03,5.25661852599379
